CODE_BARRES;NOM;MARQUE;CATEGORIE;ENERGIE_100G;MAT_GRASSES;GRAISSES_SATUREES;GLUCIDES;SUCRES;FIBRES;PROTEINES;SEL;SODIUM;CALCIUM
3250392154363;Mousse au Chocolat Noir;Netto;Desserts, Desserts au chocolat, Mousses au chocolat, Mousses au chocolat noir;154.0;4.83;3.4;21.4;18.67;2.0;5.17;0.2;0.08;
3250390009511;Cassoulet;Claude Léger, Monique ranou;Conserves, Viandes et dérivés, Plats préparés, Plats préparés à la viande, Plats au porc, Plats à base de haricots, Plats préparés en conserve, Cassoulets;114.0;5.3;2.1;7.6;0.5;4.0;6.9;1.07;0.428;
3250392402648;Les croûtons nature;Saint eloi;Aliments et boissons à base de végétaux, Aliments d'origine végétale, Céréales et pommes de terre, Pains, Croûtons, Croûtons nature;489.0;29.1;2.7;48.7;1.4;;7.1;2.0;0.8;
3027030036462;Mon flan Entremets parfum pistache;Dr Oetker;Produits laitiers, Desserts, Desserts lactés, Flans gélifiés, Préparations pour pâtisseries;77.0;1.4;0.8;13.0;13.0;0.0;3.0;0.12;0.048;
3410280065496;DOUBLE CONCENTRE TOMATE;Top Budget;Aliments et boissons à base de végétaux, Aliments d'origine végétale, Conserves, Aliments à base de fruits et de légumes, Légumes et dérivés, Tomates et dérivés, Double concentré de tomate, Concentrés de tomates;91.0;1.0;0.2;14.5;14.5;4.3;4.8;1.0;0.4;
3250390255574;Haricots rouges;Saint eloi;Aliments et boissons à base de végétaux, Aliments d'origine végétale, Légumineuses et dérivés, Conserves, Légumineuses, Graines, Aliments à base de plantes en conserve, Graines de légumineuses, Légumineuses sèches, en:Common beans, Légumineuses en conserve, Haricots rouges, Haricots en conserve, en:Canned-kidney-common-beans;95.0;0.6;0.1;11.0;0.5;6.7;8.3;0.53;0.212;
3524670301016;Tomates pelées concassées;Gotxoki;Aliments et boissons à base de végétaux, Aliments d'origine végétale, Conserves, Aliments à base de fruits et de légumes, Aliments à base de plantes en conserve, Légumes et dérivés, Légumes en conserve, Tomates et dérivés, Tomates, Tomates en conserve, Tomates pelées, Tomates concassées;20.0;0.0;0.0;3.5;2.6;1.35;0.82;0.25;0.1;
3250391671205;Blanquette de veau pommes de terre & carottes;Monique Ranou;Viandes et dérivés, Plats préparés, Plats préparés à la viande, Plats au bœuf, Plats au veau, Blanquettes de veau;75.0;3.1;1.2;6.4;0.8;1.4;4.8;0.79;0.316;
3250392485030;Brioche tranchées pur beurre bio;Chabrior;Snacks, Snacks sucrés, Viennoiseries, Brioches, Brioches pur beurre, Brioches tranchées, Brioches tranchées pur beurre;358.0;12.7;8.4;50.6;10.5;2.8;8.8;1.1;0.44;
3250391941322;Brioche tranchée pur beurre;Chabrior;Snacks, Snacks sucrés, Viennoiseries, Brioches, Brioches pur beurre, Brioches tranchées, Brioches tranchées pur beurre;325.0;9.1;3.7;50.6;11.2;0.0;8.7;0.89;0.356;
