CODE_BARRES;NOM;MARQUE;CATEGORIE;ENERGIE_100G
3021210014004;Le pâté de porc Hénaff;Hénaff;Conserves, Viandes et dérivés, Produits à tartiner, Surgelés, Viandes, Charcuteries, Produits à tartiner salés, Porc et dérivés, Charcuteries diverses, Pâté, Porc, Pâtés de porc;257.0
3033491139444;Activia Nature;Danone,Activia;Produits laitiers, Produits fermentés, Desserts, Produits laitiers fermentés, Desserts lactés, Desserts lactés fermentés, Desserts lactés fermentés nature, Yaourts au Bifidus, Yaourts au bifidus nature;61.0
5038862162500;100% oranges sans pulpe;innocent;Aliments et boissons à base de végétaux, Boissons, Boissons à base de végétaux, Boissons aux fruits, Jus et nectars, Jus de fruits, Jus d'orange, Jus de fruits frais, Jus de fruits pur jus, Jus d'orange frais, Jus d'orange pur jus;35.0
8886303210238;Lait de coco;Kara;Aliments et boissons à base de végétaux, Aliments d'origine végétale, Crèmes végétales, Crèmes végétales pour cuisiner, Laits et crèmes de coco;182.0
3410280065526;Double concentré de tomates;Top Budget;Aliments et boissons à base de végétaux, Aliments d'origine végétale, Aliments à base de fruits et de légumes, Légumes et dérivés, Tomates et dérivés, Double concentré de tomate, Concentrés de tomates;84.0
3284230006408;Brioche tranchée Bio;La Boulangère;Snacks, Petit-déjeuners, Snacks sucrés, Viennoiseries, Brioches, Brioches pur beurre, Brioches tranchées;349.0
3011360005564;Knorr Court-Bouillon Fines Herbes 9 Cubes 107g;Knorr, Unilever;Produits déshydratés, Aides culinaires, Produits lyophilisés à reconstituer, Bouillons, Bouillons déshydratés, Bouillons cubes, en:groceries;292.0
5010029220773;Céréales;Weetabix®™;Plant-based foods and beverages, Plant-based foods, Breakfasts, Cereals and potatoes, Cereals and their products, Breakfast cereals, Wholegrain cereal;362.0
3274080005003;Eau de source;Cristaline;Boissons, Eaux, Eaux de sources;0.0
3250392007225;Haricots verts précuits vapeur;Saint Eloi;Aliments et boissons à base de végétaux, Aliments d'origine végétale, Légumineuses et dérivés, Aliments à base de fruits et de légumes, Légumineuses, Surgelés, Légumes et dérivés, Aliments à base de plantes surgelés, Légumineuses surgelées, Légumes surgelés, Haricots verts, Haricots verts surgelés;35.0
8001060027374;Fusilli Bio, 500g;Saclà;Aliments et boissons à base de végétaux, Aliments d'origine végétale, Céréales et pommes de terre, Céréales et dérivés, Pâtes alimentaires, Pâtes alimentaires de céréales, Pâtes sèches, Pâtes de blé dur;354.0
3175681272927;Gerblé - Organic Muesli Fig Apricot Spelt Cookie, 132g (4.7oz);Gerblé Bio;Snacks, Snacks sucrés, Biscuits et gâteaux, Biscuits;452.0
3033710082919;Fond de volaille;Maggi,Nestlé;Condiments, Produits déshydratés, Aides culinaires, Produits lyophilisés à reconstituer, Sauces, Bouillons, Bouillons déshydratés, Sauces déshydratées, Bouillons de volaille, en:groceries;317.0
3256224621638;Steak Haché 12%;U;Viandes et dérivés, Viande de bœuf et dérivés, Viandes, Bœuf, Steaks de viande, Steaks de bœuf, Steaks hachés, Steaks de bœuf hachés;171.0
3250391737659;Préparation pour aligot des monts d'auvergne;Intermarché,Itinéraire des Saveurs,Itineraire de nos regions;Plats préparés, Produits déshydratés, Produits lyophilisés à reconstituer, Aligots;476.0
3017760719490;Biscottes goût brioché - Les gourmands Pelletier;LU;Aliments et boissons à base de végétaux, Aliments d'origine végétale, Céréales et pommes de terre, Pains, Biscottes, Biscottes Pelletier;443.0
3280249800600;Skyr nature au lait de brebis;Le Petit Basque;Produits laitiers, Produits fermentés, Desserts, Produits laitiers fermentés, Desserts lactés, Desserts lactés fermentés, Yaourts, Skyrs;77.0
3250399915653;Pommes bicolores;Intermarché;Aliments et boissons à base de végétaux, Aliments d'origine végétale, Aliments à base de fruits et de légumes, Fruits et produits dérivés, Fruits, Pommes;
3021210013007;Le pâté de porc Hénaff;Hénaff;Conserves, Viandes et dérivés, Produits à tartiner, Viandes, Charcuteries, Produits à tartiner salés, Porc et dérivés, Charcuteries diverses, Pâté, Porc, Pâtés de porc;257.0
3017760544795;La Paille d'or Fraises / Fraises des bois;LU, Mondelez;Snacks, Snacks sucrés, Biscuits et gâteaux, Biscuits, Gaufrettes, Gaufrettes fourrées, Gaufrettes fourrées aux fruits, Biscuits à la fraise;366.0
30000117;Le Pâté Hénaff;Hénaff;Canned foods, Meats and their products, Spreads, Meats, Prepared meats, Salted spreads, Pork and its products, fr:Charcuteries diverses, Pâté, Pork, Pork Pâtés;257.0
3021210012000;Le pâté de porc Hénaff;Hénaff;Conserves, Viandes et dérivés, Produits à tartiner, Viandes, Charcuteries, Produits à tartiner salés, Porc et dérivés, Charcuteries diverses, Pâté, Porc, Pâtés de porc;257.0
3250393395772;Liégeois chocolat au lait de coco;Pâturages végétal;Aliments et boissons à base de végétaux, Produits laitiers, Substituts de produits laitiers, Desserts, Desserts végétaliens, Desserts lactés, Desserts au chocolat, Liégeois, Dessert végétal;136.0
